param Dem :=
1 20
2 10
;
set Q[0,0] := 1 2;
set Q[0,1] := 1 2 3 4;
set Q[1,0] := 1;
set Q[1,1] :=;
set Q[2,0] := 1;
set Q[2,1] := 1;
set Q[3,0] := 1 2;
set Q[3,1] :=;
set Q[4,0] := 1 2;
set Q[4,1] := 1 2 3;
set Q[5,0] := 1 2;
set Q[5,1] := 1;
set Q[6,0] := 1 2;
set Q[6,1] := 1 2 3;
set Q[7,0] := 1 2;
set Q[7,1] := 1;
set Q[8,0] := 1 2;
set Q[8,1] := 1 2;
set Q[9,0] := 1 2;
set Q[9,1] := 1 2;
set Q[10,0] :=;
set Q[10,1] := 1 2 3 4;
set Q[11,0] := 1 2;
set Q[11,1] := 1 2 3 4;
set Q[12,0] := 1;
set Q[12,1] := 1 2 3 4;
set Q[13,0] := 1;
set Q[13,1] := 1 2 3 4;
set Q[14,0] := 1 2;
set Q[14,1] :=;
set Q[15,0] := 1;
set Q[15,1] :=;
set Q[16,0] :=;
set Q[16,1] := 1 2 3;
set Q[17,0] := 1 2;
set Q[17,1] := 1 2 3;
set Q[18,0] := 1;
set Q[18,1] := 1 2 3;
set Q[19,0] := 1;
set Q[19,1] := 1 2 3;
set Q[20,0] := 1 2;
set Q[20,1] := 1;
set Q[21,0] := 1;
set Q[21,1] := 1;
set Q[22,0] :=;
set Q[22,1] := 1 2 3;
set Q[23,0] := 1 2;
set Q[23,1] := 1 2 3;
set Q[24,0] := 1;
set Q[24,1] := 1 2 3;
set Q[25,0] := 1;
set Q[25,1] := 1 2 3;
set Q[26,0] := 1 2;
set Q[26,1] := 1;
set Q[27,0] := 1;
set Q[27,1] := 1;
set Q[28,0] := 1 2;
set Q[28,1] := 1 2;
param a := 
1 0 1 3 1
1 0 1 4 1
1 0 2 5 1
1 0 2 6 1
1 0 3 7 1
1 0 3 8 1
1 0 4 9 2
0 0 1 10 1
0 0 1 11 1
0 0 2 12 1
0 0 2 13 1
1 2 1 1 2
0 2 1 1 2
0 3 1 14 1
0 3 2 1 1
0 3 2 15 1
1 4 1 3 1
1 4 1 6 1
1 4 2 5 1
1 4 2 8 1
1 4 3 7 1
1 4 3 9 1
0 4 1 16 1
0 4 1 17 1
0 4 2 18 1
0 4 2 19 1
1 5 1 3 2
0 5 1 1 1
0 5 1 20 1
0 5 2 2 1
0 5 2 21 1
1 6 1 3 1
1 6 1 8 1
1 6 2 5 1
1 6 2 9 1
1 6 3 7 2
0 6 1 22 1
0 6 1 23 1
0 6 2 24 1
0 6 2 25 1
1 7 1 3 1
1 7 1 5 1
0 7 1 15 1
0 7 1 26 1
0 7 2 21 1
0 7 2 27 1
1 8 1 3 1
1 8 1 9 1
1 8 2 5 1
1 8 2 7 1
0 8 1 3 1
0 8 1 9 1
0 8 2 5 1
0 8 2 7 1
1 9 1 3 1
1 9 1 7 1
1 9 2 5 2
0 9 1 14 1
0 9 1 28 1
0 9 2 20 1
0 9 2 26 1
1 10 1 16 1
1 10 2 1 1
1 10 2 22 1
1 10 3 15 1
1 10 3 3 1
1 10 4 14 2
1 11 1 14 1
1 11 1 17 1
1 11 2 20 1
1 11 2 23 1
1 11 3 26 1
1 11 3 9 1
1 11 4 28 2
0 11 1 10 1
0 11 1 13 1
0 11 2 12 2
1 12 1 1 1
1 12 1 18 1
1 12 2 2 1
1 12 2 24 1
1 12 3 21 1
1 12 3 5 1
1 12 4 20 2
0 12 1 10 2
1 13 1 15 1
1 13 1 19 1
1 13 2 21 1
1 13 2 25 1
1 13 3 27 1
1 13 3 7 1
1 13 4 26 2
0 13 1 10 1
0 13 1 12 1
0 14 1 15 1
0 14 2 1 2
0 15 1 1 1
1 16 1 22 1
1 16 2 1 1
1 16 2 3 1
1 16 3 15 1
1 16 3 14 1
1 17 1 14 1
1 17 1 23 1
1 17 2 20 1
1 17 2 9 1
1 17 3 26 1
1 17 3 28 1
0 17 1 16 1
0 17 1 19 1
0 17 2 18 2
1 18 1 1 1
1 18 1 24 1
1 18 2 2 1
1 18 2 5 1
1 18 3 21 1
1 18 3 20 1
0 18 1 16 2
1 19 1 15 1
1 19 1 25 1
1 19 2 21 1
1 19 2 7 1
1 19 3 27 1
1 19 3 26 1
0 19 1 16 1
0 19 1 18 1
1 20 1 14 2
0 20 1 1 1
0 20 1 21 1
0 20 2 2 2
1 21 1 15 2
0 21 1 1 1
0 21 1 2 1
1 22 1 3 1
1 22 2 1 1
1 22 2 14 1
1 22 3 15 2
1 23 1 14 1
1 23 1 9 1
1 23 2 20 1
1 23 2 28 1
1 23 3 26 2
0 23 1 22 1
0 23 1 25 1
0 23 2 24 2
1 24 1 1 1
1 24 1 5 1
1 24 2 2 1
1 24 2 20 1
1 24 3 21 2
0 24 1 22 2
1 25 1 15 1
1 25 1 7 1
1 25 2 21 1
1 25 2 26 1
1 25 3 27 2
0 25 1 22 1
0 25 1 24 1
1 26 1 14 1
1 26 1 20 1
0 26 1 15 1
0 26 1 27 1
0 26 2 21 2
1 27 1 15 1
1 27 1 21 1
0 27 1 15 1
0 27 1 21 1
1 28 1 14 1
1 28 1 26 1
1 28 2 20 2
0 28 1 14 1
0 28 1 26 1
0 28 2 20 2
;
